,standard,voted,average
0,0.045698000000000065,0.025457999999999856,0.026755999999999912
1,0.03268799999999984,0.025491999999999848,0.019145999999999913
2,0.03039799999999988,0.025421999999999875,0.016766000000000003
3,0.02711599999999986,0.0253619999999999,0.015701999999999963
4,0.025955999999999833,0.02543599999999989,0.014993999999999874
5,0.02516999999999989,0.025403999999999857,0.014421999999999807
6,0.02315999999999991,0.02537199999999985,0.014125999999999781
7,0.022457999999999884,0.025389999999999878,0.014003999999999767
8,0.022237999999999886,0.025401999999999883,0.013949999999999773
9,0.021623999999999928,0.025333999999999888,0.013921999999999778
10,0.020817999999999916,0.02536799999999986,0.013835999999999798
11,0.021559999999999916,0.025377999999999876,0.013747999999999823
12,0.01984399999999989,0.025355999999999868,0.01364399999999984
13,0.019485999999999906,0.025309999999999874,0.013513999999999853
14,0.019527999999999917,0.025267999999999888,0.013369999999999885
15,0.019129999999999914,0.025335999999999862,0.013205999999999914
16,0.019289999999999946,0.025345999999999865,0.01301799999999994
17,0.019827999999999926,0.02535599999999987,0.012867999999999952
18,0.01914199999999995,0.025333999999999846,0.012731999999999964
19,0.018729999999999927,0.02534599999999988,0.012601999999999964
20,0.01863199999999992,0.025355999999999882,0.012493999999999983
21,0.01791599999999992,0.025313999999999868,0.012377999999999986
22,0.017841999999999938,0.025327999999999885,0.012277999999999994
23,0.017997999999999934,0.025323999999999878,0.012217999999999998
24,0.01740999999999993,0.025333999999999888,0.012168000000000003
25,0.017373999999999935,0.025315999999999873,0.012114000000000002
26,0.017217999999999952,0.025265999999999882,0.012098000000000001
27,0.017077999999999944,0.02528599999999989,0.012076000000000002
28,0.01715199999999992,0.02531399999999989,0.012052000000000004
29,0.017441999999999958,0.025295999999999878,0.012038000000000005
30,0.01728599999999997,0.025295999999999874,0.012026000000000005
31,0.016705999999999954,0.025277999999999884,0.012020000000000008
32,0.016377999999999948,0.025253999999999884,0.012012000000000007
33,0.017007999999999947,0.025249999999999884,0.012002000000000011
34,0.016769999999999962,0.02526799999999988,0.012002000000000011
35,0.01613399999999995,0.025261999999999875,0.012002000000000011
36,0.016225999999999956,0.02524799999999988,0.012002000000000011
37,0.016417999999999967,0.025249999999999866,0.012002000000000011
38,0.015927999999999963,0.025269999999999872,0.01200000000000001
39,0.016569999999999935,0.025255999999999876,0.01200000000000001
40,0.015873999999999937,0.02525199999999987,0.01200000000000001
41,0.01608599999999993,0.025249999999999884,0.01200000000000001
42,0.01577799999999995,0.02521399999999987,0.01200000000000001
43,0.016281999999999953,0.025223999999999875,0.01200000000000001
44,0.015433999999999943,0.025237999999999882,0.01200000000000001
45,0.015667999999999953,0.025197999999999887,0.01200000000000001
46,0.016137999999999944,0.025213999999999875,0.01200000000000001
47,0.016045999999999953,0.025227999999999886,0.01200000000000001
48,0.015993999999999963,0.02521799999999987,0.01200000000000001
49,0.015461999999999957,0.02522999999999987,0.01200000000000001
